P RANK,PvP Win,PvP Loss,PvT Win,PvT Loss,PvZ Win,PvZ Loss,Z RANK,ZvP Win,ZvP Loss,ZvT Win,ZvT Loss,ZvZ Win,ZvZ Loss,T RANK,TvP Win,TvP Loss,TvT Win,TvT Loss,TvZ Win,TvZ Loss
1,87,49,115,41,106,41,2,347,169,304,247,293,156,4,135,86,148,57,145,40
3,195,130,213,78,154,150,8,334,123,310,133,246,108,14,87,73,82,46,134,46
5,132,62,117,43,114,52,17,220,114,195,123,170,95,15,55,32,63,22,75,15
6,132,83,140,79,107,92,20,213,105,212,127,185,107,16,88,61,87,45,89,40
7,173,100,192,63,157,109,25,226,83,141,115,161,80,23,202,170,210,123,202,107
9,318,151,339,132,296,173,26,166,91,185,118,183,74,24,249,198,280,152,284,144
10,208,137,181,122,216,158,28,296,172,248,168,174,115,27,38,46,62,28,63,19
11,114,73,116,52,127,54,29,299,187,319,226,252,200,34,50,33,90,31,66,35
12,115,83,170,66,107,106,31,84,44,86,57,69,60,35,180,142,214,113,219,111
13,84,37,90,17,65,20,32,206,146,200,167,234,130,36,88,89,130,73,108,76
18,103,50,118,33,90,44,41,87,52,74,53,94,63,38,84,67,143,54,118,76
19,160,94,157,85,152,90,42,146,81,153,121,145,107,39,154,159,199,142,180,90
21,147,85,148,37,133,70,46,249,160,224,167,234,127,48,152,110,206,109,174,109
22,180,123,232,86,169,125,47,79,30,66,45,89,55,54,174,210,232,159,243,135
30,66,39,99,36,75,41,53,261,191,355,256,264,246,55,155,127,168,115,143,113
33,107,107,170,46,116,99,63,120,77,135,97,118,121,56,282,163,382,222,351,124
37,304,330,532,295,323,357,66,94,58,85,53,79,50,57,160,170,171,149,231,110
40,69,37,59,25,64,43,68,157,120,218,160,239,139,67,159,169,230,160,176,131
43,90,54,146,39,96,51,69,49,24,58,39,70,23,69,30,50,41,41,59,45
44,103,56,74,56,81,66,70,93,76,111,94,102,80,72,188,145,205,188,212,128
45,143,122,245,134,178,139,71,76,65,104,60,86,61,74,163,205,209,260,232,212
49,140,105,185,91,150,121,73,212,162,249,220,231,187,77,139,132,209,117,212,130
50,253,209,341,261,272,264,75,143,131,178,176,209,146,80,55,86,89,56,125,75
51,219,182,360,234,271,244,79,103,83,100,91,94,73,81,69,75,94,71,85,55
52,253,206,340,264,248,249,91,75,60,77,60,88,64,82,71,44,98,44,76,46
58,211,125,245,86,212,116,93,44,27,43,40,55,39,85,60,37,84,33,76,36
59,140,142,243,176,198,153,94,102,46,142,129,120,59,86,97,86,130,104,138,100
60,52,31,72,35,44,42,97,162,147,179,196,180,143,87,198,218,237,226,324,166
61,122,73,131,75,88,71,99,50,25,46,43,61,49,88,136,117,199,168,163,145
62,143,98,163,118,162,115,100,86,65,119,78,97,75,92,50,43,59,41,76,28
64,26,24,55,25,38,24,101,108,99,162,102,128,128,103,69,97,105,95,137,71
65,37,22,42,19,35,24,102,266,238,334,324,399,314,105,97,151,283,162,197,171
69,37,37,63,31,45,49,106,98,59,76,94,111,72,110,55,55,89,68,89,62
76,144,136,235,149,173,193,108,163,113,165,174,198,162,112,49,49,84,48,71,58
78,112,98,159,88,104,116,111,56,55,72,39,72,51,114,161,188,297,195,220,180
83,76,75,89,60,74,74,113,152,60,123,76,118,50,115,127,120,166,145,172,127
84,82,87,139,68,118,55,116,143,108,165,174,169,128,123,96,100,131,97,148,110
89,70,66,88,67,101,70,117,54,44,107,80,106,82,129,51,47,82,54,74,44
90,94,120,194,100,118,97,119,99,60,119,96,98,70,130,61,22,66,42,70,31
95,124,119,187,110,144,135,120,92,75,125,101,120,113,135,25,27,39,24,33,22
96,91,93,129,69,115,88,121,62,30,70,99,102,63,136,33,37,61,39,43,32
98,123,128,186,147,190,153,122,30,16,39,30,31,25,137,42,46,96,72,84,42
104,70,44,92,90,75,64,133,159,109,216,181,148,183,142,29,31,57,53,55,28
107,57,35,75,42,55,50,134,134,52,115,131,94,112,143,38,35,52,34,38,26
109,48,56,90,59,53,51,135,21,13,19,23,23,20,144,68,100,121,85,124,88
118,170,176,266,186,206,204,140,132,131,154,144,161,132,150,94,105,179,128,131,117
124,38,27,70,33,32,37,141,38,16,39,31,49,35,151,35,17,36,8,39,4
125,59,96,97,88,119,75,152,169,134,214,179,180,178,153,72,80,116,105,113,67
126,37,22,86,38,44,60,154,35,18,43,36,46,37,155,44,40,56,37,62,25
127,108,81,118,75,95,78,157,63,64,78,64,71,59,160,101,66,152,163,128,112
128,59,69,124,54,76,92,159,94,107,143,133,131,100,162,48,30,53,52,66,46
131,74,66,108,76,77,80,161,98,62,121,101,98,105,165,114,116,180,151,155,108
132,40,31,54,56,72,55,163,33,22,43,33,50,41,169,46,63,90,98,88,62
135,12,12,17,15,14,14,164,79,76,92,106,86,101,175,41,23,47,18,54,30
138,53,34,65,43,64,53,167,81,76,139,85,101,87,176,59,66,116,102,119,56
139,92,82,116,86,105,101,168,36,25,52,51,55,38,181,51,39,59,59,60,55
145,79,65,107,66,92,98,170,27,12,33,25,27,12,183,70,80,129,89,81,74
146,63,64,113,64,70,78,171,36,17,60,42,36,38,185,56,51,82,73,82,49
147,40,18,44,24,40,30,172,45,38,66,40,55,45,188,47,41,74,69,82,40
148,151,177,277,178,193,230,173,93,66,106,102,111,97,194,34,36,73,74,62,32
